"date","home.team","home.score","away.team","away.score"
"0005-01-20","Valladolid",0,"Vallecano",1
"0006-01-20","Eibar",0,"Villarreal",0
"0006-01-20","Getafe",1,"Barcelona",2
"0006-01-20","Real Madrid",0,"Sociedad",2
"0006-01-20","Sevilla",1,"Ath Madrid",1
"0007-01-20","Celta",1,"Ath Bilbao",2
"0011-01-20","Vallecano",4,"Celta",2
"0012-01-20","Girona",1,"Alaves",1
"0012-01-20","Leganes",1,"Huesca",0
"0012-01-20","Valencia",1,"Valladolid",1
"0012-01-20","Villarreal",1,"Getafe",2
"0013-01-20","Ath Bilbao",2,"Sevilla",0
"0013-01-20","Ath Madrid",1,"Levante",0
"0013-01-20","Barcelona",3,"Eibar",0
"0013-01-20","Betis",1,"Real Madrid",2
"0014-01-20","Sociedad",3,"Espanol",2
"0018-01-20","Getafe",4,"Alaves",0
"0019-01-20","Celta",1,"Valencia",2
"0019-01-20","Huesca",0,"Ath Madrid",3
"0019-01-20","Real Madrid",2,"Sevilla",0
"0020-01-20","Barcelona",3,"Leganes",1
"0020-01-20","Betis",3,"Girona",2
